category,DIAL,GRAFT_COMM_ND_PBD_GE65,GRAFT_COMM_ND_PBD_LT65,GRAFT_COMM_FBD_GE65,GRAFT_COMM_FBD_LT65,GRAFT_INST,NE_DIAL_ND_PBD_NORIGDIS,NE_DIAL_FBD_NORIGDIS,NE_DIAL_ND_PBD_ORIGDIS,NE_DIAL_FBD_ORIGDIS,NE_GRAFT_ND_PBD_NORIGDIS,NE_GRAFT_FBD_NORIGDIS,NE_GRAFT_ND_PBD_ORIGDIS,NE_GRAFT_FBD_ORIGDIS
NEM80_84,0.0,0.0,0.0,0.0,0.0,0.0,0.982,1.181,1.004,1.258,1.234,1.489,1.286,2.788
NEM85_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.978,1.181,1.004,1.258,0.0,0.0,0.0,0.0
NEF65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.978,1.202,1.585
NEF66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.982,1.265,1.585
NEF67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.996,1.265,1.585
NEF68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.996,1.265,2.004
NEF69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619,0.996,1.265,2.004
NEF85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,1.549,1.275,2.004
NEF90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,1.697,1.275,2.004
NEF95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,1.697,1.275,2.004
NEM65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562,1.171,1.048,1.711
NEM66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.223,1.145,1.942
NEM67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612,1.308,1.145,1.942
NEM68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,1.355,1.145,1.942
NEM69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,1.443,1.286,1.942
NEM85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.502,1.667,1.502,2.788
NEM90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.502,1.964,1.502,2.788
NEM95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.502,1.964,1.502,2.788
